fname,label,manually_verified
7d4c5e77.wav,Meow,0
0d0c7375.wav,Bass_drum,0
da354910.wav,Knock,1
d1c0cab6.wav,Saxophone,1
a87b3d19.wav,Scissors,1
5f4ede60.wav,Applause,1
d22a5883.wav,Hi-hat,0
df75d2e7.wav,Double_bass,0
d1fe974e.wav,Bark,0
29a016e0.wav,Knock,1
e45759ea.wav,Tearing,0
dcd13813.wav,Writing,0
276c2689.wav,Fart,1
df73bad7.wav,Laughter,0
0c27360a.wav,Gunshot_or_gunfire,1
945aa934.wav,Fart,0
be973667.wav,Fireworks,1
1ef88b6d.wav,Fireworks,0
b2553a6c.wav,Oboe,0
09a355a9.wav,Cough,0
8d8fb79c.wav,Glockenspiel,1
a5a68a8c.wav,Squeak,0
71ca662a.wav,Bark,0
435160bb.wav,Hi-hat,0
f8dd670f.wav,Bass_drum,0
b515ac09.wav,Burping_or_eructation,0
86154cb7.wav,Violin_or_fiddle,0
3c55ce83.wav,Drawer_open_or_close,0
f57b608c.wav,Violin_or_fiddle,1
85f0bac3.wav,Bus,0
6eb60c13.wav,Oboe,0
bb7107fb.wav,Tambourine,0
24ba0ef2.wav,Clarinet,1
19343ae9.wav,Tambourine,1
97599450.wav,Fart,0
26e8ab9d.wav,Gong,0
2ae34e2b.wav,Laughter,0
531b0def.wav,Electric_piano,0
2005b905.wav,Gong,0
36698953.wav,Writing,0
737b7050.wav,Computer_keyboard,1
a1547447.wav,Cello,1
910dc153.wav,Electric_piano,1
6c7f59a7.wav,Trumpet,0
9c33b001.wav,Writing,1
37319862.wav,Cello,0
1d542616.wav,Keys_jangling,1
af8034f1.wav,Snare_drum,0
dde05348.wav,Acoustic_guitar,1
336acd6b.wav,Gong,0
1c9a423f.wav,Snare_drum,1
626f8d25.wav,Laughter,0
ad5dc3ef.wav,Cough,0
52aceab1.wav,Tearing,0
6fda26fc.wav,Finger_snapping,1
07f88679.wav,Hi-hat,0
c88c6a4b.wav,Flute,1
40a5bbad.wav,Saxophone,1
f6cd0ab7.wav,Knock,0
a6728901.wav,Acoustic_guitar,1
21428eac.wav,Tearing,0
fac473ef.wav,Acoustic_guitar,0
718f1572.wav,Cello,0
817b6f59.wav,Oboe,0
34d3e8bc.wav,Applause,0
58387c2d.wav,Harmonica,0
0c3cba8b.wav,Clarinet,0
df1bc322.wav,Chime,1
0d0d1b88.wav,Applause,0
e702cea1.wav,Drawer_open_or_close,0
3de13acc.wav,Telephone,1
9bedf2cf.wav,Flute,0
a4440d35.wav,Cowbell,1
ad9a5db4.wav,Burping_or_eructation,0
db47cea5.wav,Meow,0
226f4efc.wav,Snare_drum,0
686a78bf.wav,Squeak,0
62ccffe4.wav,Trumpet,0
c9fb642d.wav,Violin_or_fiddle,1
7c7fea83.wav,Fireworks,0
6e5088de.wav,Shatter,1
c3414228.wav,Bass_drum,0
72f47548.wav,Gunshot_or_gunfire,1
e46f13a0.wav,Shatter,0
ae247229.wav,Harmonica,0
07a177eb.wav,Squeak,0
79753d0c.wav,Saxophone,1
a8f34ecc.wav,Microwave_oven,1
63b9e36a.wav,Double_bass,0
a6ae8261.wav,Cowbell,1
1fca082d.wav,Flute,0
1032e684.wav,Clarinet,0
e7b016ef.wav,Shatter,0
655b5248.wav,Double_bass,0
9cdbf719.wav,Trumpet,1
